dates,stationid,dispx,dispy,dispz,temperature,humidity,rain
16-09-2018,t10,0.0900141075,0.0324263419,-0.2232633375,22.45985,90.43796,0
17-09-2018,t10,0.0900141075,0.0324263419,-0.2232633375,21.9021,90.54545,0
18-09-2018,t10,0.0900141075,0.0324263419,-0.2232633375,21.87857,91.54286,0
19-09-2018,t10,0.0900141075,0.0324263419,-0.2232633375,22.77372,88.33577,0
20-09-2018,t10,0.0900141075,0.0324263419,-0.2232633375,23.32857,85.64286,0
21-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,21.64286,99,589.5
22-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.65385,99,207
23-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.34,99,281.25
24-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.96992,99,1215
25-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,20.80741,95.76296,2.25
26-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,22.37857,90.69286,0
27-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,21.76471,94.65441,0
28-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,19.97872,98.93617,0
29-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,21.92701,89.9635,0
30-09-2018,t10,0.0875334038,0.0304772175,-0.2190107025,21.86765,88.70588,0
01-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,21.7234,84.13475,0
02-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,21.58993,81.10072,0
03-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,21.41135,80.76596,0
04-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,20.15603,80.41844,74.25
05-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,20.05072,76.53623,0
06-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,20.38129,70.5036,0
07-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,19.84173,76.4964,0
08-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,20.05882,78.66912,0
09-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,20.26812,72.2029,0
10-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,20.77857,67.38571,24.75
11-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.71223,87.72662,315
12-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.55714,82.97857,0
13-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.43662,82.66197,0
14-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.40714,82.82857,0
15-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.36879,80.40426,0
16-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.99275,66.24638,0
17-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,19.68613,50.19708,0
18-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,19.69286,53.86429,0
19-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,19.29078,50.82979,0
20-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.57971,56.76087,0
21-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.94245,69.70504,0
22-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.59712,62.07914,0
23-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.73571,57.10714,0
24-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,16.46923,60.64615,0
25-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.33094,65.41727,0
26-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.74101,67.42446,0
27-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.48227,72.75177,0
28-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.35714,72.72857,0
29-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.2695,76.35461,0
30-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18,84.66429,0
31-10-2018,t10,0.0875334038,0.0304772175,-0.2190107025,18.97015,78.98507,0
01-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.03101,94.0155,0
02-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,14.69369,90.10811,0
06-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,13.97872,89.46809,0
07-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.8626,77.55725,0
08-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,14.70079,82.61417,0
09-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.41085,81.10078,0
10-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.49612,83.48062,0
11-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,14.36585,83.86179,0
12-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,16.03676,66.22794,0
13-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,13.28689,85.56557,0
17-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,14.20635,88.1746,0
18-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.1875,79.20139,0
19-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,16.27972,76.74126,0
20-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.46479,80.73944,0
21-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.41791,80.20149,0
22-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,14.34752,86.14184,0
23-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,14.60839,82.06993,0
24-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,15.74648,78.28873,0
25-11-2018,t10,0.0875334038,0.0304772175,-0.2190107025,17.17647,69.68627,0
05-07-2018,t11,0,0,0,22.05,83.65,0
06-07-2018,t11,0,0,0,26.86029,64.97059,0
07-07-2018,t11,0,0,0,29.31304,62.42609,0
08-07-2018,t11,0,0,0,23.53846,61.92308,3
09-07-2018,t11,0,0,0,26.8494,61.10241,15
10-07-2018,t11,0,0,0,27.88806,75.07463,13583.25
11-07-2018,t11,0.0347298525,-0.058119345,0.01984563,27.35915,76.02113,19768.5
12-07-2018,t11,-1.5982819875,0.341628345,0.01984563,28.24031,71.54264,0
13-07-2018,t11,-1.572057405,0.3404470575,0.1134036,25.5,78.40278,20.25
14-07-2018,t11,-1.572057405,0.3404470575,0.1134036,28.3007,71.36364,0
15-07-2018,t11,-1.572057405,0.3404470575,0.1134036,29.09286,69.27143,13.5
16-07-2018,t11,-1.572057405,0.3404470575,0.1134036,24.92308,85.0979,1260
17-07-2018,t11,-1.572057405,0.3404470575,0.1134036,26.52857,80.95714,324
18-07-2018,t11,-1.572057405,0.3404470575,0.1134036,28.1223,73.86331,40.5
19-07-2018,t11,-1.5940293525,0.339738285,0.12757905,29.08271,71.09023,24.75
20-07-2018,t11,-1.5940293525,0.339738285,0.12757905,28.32867,74.71329,679.5
21-07-2018,t11,-1.5940293525,0.339738285,0.12757905,27.32168,76.97902,13.5
22-07-2018,t11,-1.5940293525,0.339738285,0.12757905,25.50649,84.90909,0
27-07-2018,t11,-1.5940293525,0.339738285,0.12757905,25.00295,85.78909,9
28-07-2018,t11,-1.5940293525,0.339738285,0.12757905,23.76852,88.08333,130.5
01-08-2018,t11,-1.6351381575,0.487162965,-0.205544025,26.6,75.4,24.75
05-08-2018,t11,-1.6351381575,0.487162965,-0.205544025,24,91,0
11-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.11321,82.71698,2.25
12-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,25.80645,85.29032,22.5
13-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,24.59375,88.02083,159.75
14-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.45882,77.25882,0
15-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.95699,74.6129,0
16-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.61856,79.79381,0
17-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,26.93333,80.74444,9
18-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,26.52577,84.52577,4.5
19-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.70588,79.43697,0
20-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.48936,81.85106,4.5
21-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,24.12745,90.60784,24.75
22-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,26.81061,83.68939,0
23-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,25.46479,90.16901,63
24-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,24.43836,90.41096,2.25
25-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,23.08772,90.40351,58.5
26-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,24.9863,84.78082,9
27-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,26.84211,80.60526,0
28-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.66981,78.91509,0
29-08-2018,t11,-1.6241521838,0.4963770075,-0.1725861038,27.60563,80.99296,20.25
